SAMPLE ID,SIO2,TIO2,AL2O3,MNO,MGO,CAO,NA2O,K2O,P2O5,class
D139985,74.4,0.24,7.4,0.09,0.7,7.7,0.9,1.6,0.09,Sand
D139986,72.3,0.41,8.7,0.06,2,4.9,1,1.8,0.19,Sand
D139987,86.5,0.2,4.6,0.06,0.7,2.9,0.1,1.1,0.2,Sand
D139988,83.4,0.38,10.4,0.06,0.4,0.3,0.9,2.1,0.07,Sand
D139989,54.6,0.42,11.4,0.09,4,7.9,1.2,3.8,0.2,Sand
D139990,75.7,0.42,9.4,0.06,1.2,2.8,1,1.8,0.17,Sand
D139991,72.3,0.45,13.4,0.03,1,1.5,1.4,1.6,0.17,Sand
D139992,76.8,0.36,10.2,0.06,1.1,2.3,1.2,1.9,0.16,Sand
D139993,88.6,0.29,6.2,0.03,0.2,0.3,0.1,1,0.07,Sand
D139996,86,0.15,8,0.03,0.1,0.2,0.6,2.3,0.06,Sand
D139997,70.8,0.34,8,0.04,1.2,7.5,1,1.8,0.13,Sand
D139998,56.9,0.26,6.8,0.09,1.3,13.5,0.8,1.4,0.15,Sand
D139999,89.7,0.29,5.7,0.03,0.2,0.3,0.1,1.1,0.01,Sand
D140000,66.8,0.29,8.2,0.09,0.8,10.2,1.2,1.8,0.13,Sand
D140001,42.5,0.29,5.6,0.15,1.4,23.6,1.2,0.9,0.26,Sand
D140828,74,0.49,10,0.07,0.32,3.2,2,0.41,0.04,Sand
D140836,71.6,0.42,13,0.14,1.1,4.9,1.7,1.9,0.09,Sand
D140837,71.1,0.53,14,0.08,1.2,2,1.8,3,0.09,Sand
D140854,77.7,0.32,10.5,0.04,0.71,1.1,2,3,0.02,Sand
D140855,72.8,0.21,11.7,0.13,0.35,3.6,1.2,1.7,0.02,Sand
D155305,52.6,0.65,15.3,0.19,6.6,6.9,4,1.4,0.25,Sand
D155313,57.1,0.65,16.2,0.13,3.1,5.7,5.3,1.9,0.33,Sand
D158431,77.2,0.8,9.7,0.11,0.76,0.4,1,1.1,0.06,Sand
D158438,71.6,0.96,12.3,0.06,0.94,0.38,1.2,1.7,0.1,Sand
D158442,73.9,0.76,11.5,0.07,1.1,0.3,1,1.7,0.06,Sand
D158444,80.9,0.22,10.3,0.06,0.57,0.23,1.4,1.3,0.11,Sand
D158448,75.4,0.87,13.6,0.06,0.63,0.09,0.08,1.6,0.04,Sand
D159786,61.2,0.46,14.2,0.13,3.6,7,2.8,1.8,0.22,Sand
D159787,54,1.1,16.3,0.12,4.8,5.6,4.6,2.2,0.49,Sand
D160703,63.7,0.71,17.3,0.04,2.4,0.95,2,4,0.13,Sand
D160706,58.2,1.3,17.6,0.05,3.4,2.2,2.4,3.1,0.17,Sand
D160754,68.3,0.74,13.2,0.04,3.1,2,2.8,1.5,0.1,Sand
D164368,76.5,0.23,10.5,0.01,0.37,1.3,1.3,3.8,0.07,Sand
D165375,58.4,0.45,15.1,0.05,3.4,2.6,1.3,2.6,0.23,Sand
D165792,90.7,0.18,3.3,0.02,0.43,0.86,0.54,0.34,0.13,Sand
D166353,95.1,0.18,3.6,0.01,0.25,0.04,0.06,1.4,0.04,Sand
D166361,89.7,0.29,3.9,0.01,0.64,0.51,0.09,0.07,0.14,Sand
D168031,37.4,0.24,3.1,0.05,3.8,23.3,0.04,0.37,0.13,Sand
D168731,69.8,0.22,12.8,0.08,0.39,2.2,2.4,4.8,0.09,Sand
D173456,53.7,1.22,19.6,0.138,0.68,1.42,1.44,4.1,0.135,Sand
D173457,43.6,0.683,14.6,0.208,0.88,2.11,0.43,2.17,0.27,Sand
D173458,59.9,0.741,15,0.102,0.87,1.26,0.46,2.65,0.112,Sand
D173463,46,0.616,14.2,0.132,0.75,5.04,0.91,2.77,0.164,Sand
D182832,71.2,0.18,12.3,0.12,0.37,2.2,2.4,4.7,0.05,Sand
D182854,67.3,0.34,14.8,0.12,0.39,3.2,4.2,3.4,0.11,Sand
D182855,76.1,0.17,11.9,0.04,0.19,0.69,2.5,5.3,0.05,Sand
D187840,61.1,0.05,1.58,0.129,1.02,16.7,0.57,0.7,0.06,Sand
D187843,74.7,0.27,5.98,0.005,0.21,1.92,0.43,1.96,0.05,Sand
D187847,64.8,0.55,14.2,0.014,0.43,0.57,0.43,4.11,0.19,Sand
D187861,80.8,0.11,4.38,0.028,0.53,0.5,0.21,1.55,0.06,Sand
D187863,72.8,0.18,4.25,0.069,0.66,6.2,0.37,1.6,0.13,Sand
D187864,77.9,0.09,2.34,0.072,0.45,9,0.32,0.88,0.04,Sand
D187865,76.6,0.09,2,0.085,0.57,10,0.38,0.67,0.05,Sand
D187866,85.2,0.2,5.68,0.008,0.67,0.28,0.34,1.86,0.13,Sand
D187868,66.4,0.23,4.37,0.085,1.33,12.5,0.71,1.77,0.14,Sand
D187869,84.2,0.13,4.97,0.012,1.02,0.88,0.26,1.39,0.06,Sand
D187870,85.6,0.09,1.73,0.026,0.39,5.1,0.33,0.68,0.08,Sand
D187878,67.5,0.16,3.84,0.047,1.1,8.2,0.38,1.77,0.11,Sand
D190310,76.6,0.12,7.9,0.11,0.14,4.1,1.7,3.3,0.05,Sand
D190311,71,0.29,13.1,0.02,0.46,1.9,3.1,3.1,0.11,Sand
D198217,68.7,0.15,3.1,0.103,1.75,13.2,0.34,1.18,0.1,Sand
D198221,64.6,0.1,2.37,0.146,1.59,16.6,0.24,0.91,0.1,Sand
D198263,60.1,0.69,16.5,0.024,3.82,1.6,0.24,4.62,0.22,Sand
D200671,55.5,0.66,14.1,0.12,4.3,5.6,4,2.2,0.3,Sand
D204302,87,0.1,2.43,0.032,0.63,4.38,0.21,1.01,0.04,Sand
D204304,93.9,0.09,2.11,0.016,0.26,0.83,0.12,0.75,0.01,Sand
D204306,82.5,0.16,3.18,0.034,1.04,4.98,0.16,1.4,0.06,Sand
D204307,88.6,0.12,2.99,0.023,0.59,2.6,0.28,1.33,0.04,Sand
D204308,88.3,0.13,3.44,0.024,0.44,2.88,0.15,1.56,0.05,Sand
D204311,88.7,0.08,1.37,0.032,0.6,4.61,0.26,0.34,0.04,Sand
D204312,76.3,0.12,2.79,0.072,1.28,9.37,0.4,1.14,0.09,Sand
D204315,72.5,0.13,2.65,0.085,1.57,11.4,0.47,1.23,0.09,Sand
D204319,85.2,0.12,2.07,0.039,0.91,4.97,0.41,0.75,0.05,Sand
D204320,75.5,0.22,2.41,0.069,1.32,9.77,0.53,1.02,0.08,Sand
D204322,72.5,0.08,1.47,0.062,1.55,12.4,0.54,0.45,0.08,Sand
D204323,71.4,0.09,1.95,0.076,1.65,12.4,0.54,0.75,0.09,Sand
D204328,85.7,0.1,1.88,0.046,0.85,5.55,0.26,0.74,0.04,Sand
D204330,88,0.2,3.27,0.029,0.87,2.89,0.45,1.28,0.05,Sand
D204332,94.7,0.11,2.46,0.02,0.37,0.22,0.37,0.76,0.03,Sand
D204861,77.7,0.14,4.81,0.053,1.5,3.7,0.43,1.1,0.08,Sand
D207616,80.5,0.26,7.29,0.042,1.01,1.32,0.14,2.13,0.05,Sand
D207634,82,0.08,2.22,0.062,0.29,3.46,0.05,0.65,0.01,Sand
D207635,84.6,0.18,4.7,0.02,0.36,1.1,0.12,0.72,0.03,Sand
D207636,80.8,0.18,4.85,0.021,0.23,2.87,0.1,1.69,0.03,Sand
D207637,81.5,0.28,6.48,0.018,0.24,1.49,0.15,1.95,0.05,Sand
D207638,68.8,0.13,3.06,0.11,0.72,10.9,0.75,1.02,0.06,Sand
D207639,70.1,0.24,3.96,0.06,0.61,5.26,0.09,1.36,0.11,Sand
D207640,71.4,0.21,5.48,0.086,0.94,0.94,0.64,2.26,0.04,Sand
D207641,78.5,0.2,3.92,0.059,0.56,6.19,0.06,1.4,0.06,Sand
D207642,88.4,0.25,3.31,0.033,0.17,2.56,0.06,1.27,0.04,Sand
D207644,81.4,0.12,3.34,0.055,0.43,6.23,0.09,1.27,0.04,Sand
D215071,69.7,0.8,14.2,0.07,0.66,2.82,2.3,2.56,0.2,Sand
D215097,67.1,0.73,16.1,0.04,0.7,2.55,1.3,2.37,0.2,Sand
D215101,55.2,0.55,12.8,0.32,0.94,11,1.3,2.97,0.2,Sand
D215104,61,0.58,17.5,0.22,0.89,4.83,3,1.77,0.3,Sand
D215156,62.1,0.47,14,0.15,0.77,6.71,1.7,2.43,0.1,Sand
D215174,48.9,0.37,4.2,0.06,5.16,15,0.3,1.04,0.1,Sand
D215195,64.3,0.63,15.2,0.06,0.97,4.31,1.5,2.47,0.1,Sand
D215198,66.7,0.62,13.6,0.07,0.73,5.15,1.8,2.22,0.1,Sand
D215199,66.4,0.56,14.4,0.04,0.84,3.48,2,2.45,0.1,Sand
D215203,70.2,0.4,7.69,0.03,2.4,4.7,0.4,2.01,0.1,Sand
D215226,64,0.68,15.9,0.03,0.96,2.97,1.5,4.19,0.2,Sand
D215235,66.9,0.6,13,0.08,0.73,5.06,1.9,2.2,0.1,Sand
D215248,56.1,0.57,13.8,0.1,0.93,9,1.1,2.12,0.1,Sand
D215251,69.2,0.77,14.1,0.08,0.64,2.88,2.3,2.55,0.2,Sand
D215265,59.5,0.6,12.6,0.05,2.2,6.36,0.7,2.19,0.2,Sand
D215284,64.9,0.68,15.6,0.05,0.8,3.29,1.7,4.26,0.2,Sand
D215287,65,0.53,13.1,0.1,0.9,3.35,1.9,2.48,0.1,Sand
D215290,55.5,0.42,10.9,0.09,3,7.71,0.3,1.6,0.2,Sand
D215293,78.4,0.25,8.31,0.03,1.3,1.63,0.4,2.46,0.1,Sand
D215295,61.9,0.47,13.9,0.15,0.76,6.75,1.6,2.44,0.1,Sand
D215297,65.8,0.72,15.8,0.04,0.62,2.61,1.2,2.32,0.2,Sand
D215304,65.5,0.33,8,0.07,2,6.44,0.6,1.86,0.1,Sand
D215308,68.8,0.55,12.9,0.07,0.8,3.37,2,2.67,0.1,Sand
D215321,70.9,0.38,7.4,0.03,2.3,5.06,0.4,1.92,0.1,Sand
D228331,60.4,0.39,9.1,0.03,4.1,6.64,0.9,2.22,0.1,Sand
D228332,68.2,0.33,9.2,0.03,2.6,5.13,0.8,2.34,0.1,Sand
D228334,61.2,0.53,10.3,0.06,3.9,6.86,0.7,1.96,0.2,Sand
D228338,61.5,0.49,11.2,0.07,3.2,5.56,0.6,2.86,0.2,Sand
D228340,45.8,0.27,6.41,0.03,7.08,14.3,0.2,1.72,0.2,Sand
D228341,60.9,0.4,9.12,0.04,4.1,6.3,0.9,2.19,0.1,Sand
D228342,65.7,0.4,9.18,0.02,3.1,6.36,0.8,2.11,0.1,Sand
D228343,60.6,0.48,11,0.07,3.3,5.64,0.5,2.77,0.2,Sand
D228345,74.1,0.36,8.92,0.02,2.2,3.44,0.8,2.03,0.1,Sand
D228346,61.4,0.46,10.5,0.07,3.4,5.8,0.6,2.68,0.1,Sand
D228349,42.3,0.28,6.5,0.02,8.38,15.1,0.7,1.69,0.1,Sand
D228350,60.1,0.35,7.88,0.06,4.6,8.44,0.5,1.84,0.1,Sand
D228355,66,0.33,7.72,0.06,3.8,6.53,0.4,1.79,0.1,Sand
D228356,62.9,0.57,12.4,0.03,3.2,4.29,0.8,2.34,0.2,Sand
D228358,63.1,0.53,12.7,0.05,3,3.63,0.8,2.3,0.2,Sand
D228359,76.3,0.33,8.92,0.02,1.8,2.26,0.8,2.12,0.1,Sand
D228360,61.3,0.29,8.18,0.03,3.2,8.93,0.7,2.09,0.2,Sand
D228362,70,0.33,9.79,0.03,2.1,3.96,0.8,2.45,0.1,Sand
D228363,60,0.35,8.05,0.06,4.6,8.43,0.5,1.86,0.1,Sand
D228365,62.2,0.49,11,0.07,3.2,5.66,0.6,2.79,0.2,Sand
D228367,63.6,0.57,12.4,0.03,3.1,4.31,0.7,2.33,0.3,Sand
D228368,60,0.39,9.15,0.03,4.1,6.32,0.9,2.2,0.1,Sand
D228369,59,0.4,9.11,0.05,4.5,7.75,0.6,2.15,0.2,Sand
D228370,50.2,0.34,8.31,0.1,3.3,14.9,0.6,1.6,0.1,Sand
D228374,60.9,0.35,8.02,0.05,4.4,8.25,0.5,1.87,0.1,Sand
D228378,61.7,0.36,8.73,0.03,4,7.89,0.6,1.95,0.2,Sand
D228381,72.4,0.43,9.11,0.04,1.5,3.16,0.6,2.14,0.1,Sand
D228387,51.6,0.13,5.73,0.12,0.87,20,0.5,1.44,0.2,Sand
D228397,70.3,0.51,10.5,0.06,1.8,2.01,0.8,2.22,0.2,Sand
D228405,66.7,0.41,9.8,0.03,2.9,5.13,0.8,2.38,0.2,Sand
D228407,70.3,0.36,9.93,0.03,2.4,4.1,0.8,2.51,0.1,Sand
D228408,57.9,0.43,8.75,0.03,4.5,9.29,0.6,1.99,0.2,Sand
D229168,68.6,0.62,13.1,0.02,2,2.33,2.6,4.47,0.2,Sand
D229191,48.5,1.16,14.1,0.09,1.3,10,2.2,4.41,0.3,Sand
D229199,54.6,0.43,10.5,0.03,1,10.5,2.5,2.11,0.1,Sand
D229204,68.1,0.44,12.7,0.03,1.2,4.57,2.8,3.27,0.1,Sand
D229222,43.7,0.62,11.8,0.16,3.7,11.4,1.8,3.25,0.2,Sand
D229245,64.6,0.65,14.1,0.08,2.1,3.09,3.1,3.09,0.2,Sand
D229249,58.7,0.55,13.2,0.05,2.4,7.66,2.4,2.47,0.2,Sand
D229251,59.9,0.56,14.4,0.07,1.7,6.85,3.4,3,0.2,Sand
D229254,44.8,1.01,12.3,0.17,4.2,12.8,1.6,2.95,0.2,Sand
D229257,60.3,0.64,13.5,0.03,2.6,4.49,1.6,3.02,0.3,Sand
D230342,64.7,0.25,7.94,0.05,1,0.56,1.1,2.56,0.1,Sand
D231477,67.5,0.39,12.7,0.04,2,0.64,0.8,2.78,0.1,Sand
D234703,57.8,0.94,16,0.07,3.39,2.48,2.87,1.88,0.26,Sand
D234706,63.1,0.83,14.4,0.07,2.28,2.94,2.55,2.5,0.31,Sand
D234711,66.1,0.73,13.1,0.06,1.92,3.21,3.28,1.96,0.71,Sand
D234712,68.2,0.63,12.6,0.06,1.72,3.08,2.81,2.05,0.39,Sand
D234716,25.1,0.13,5.53,0.21,1.02,35.9,1.09,1.37,0.25,Sand
D234717,56,0.31,11,0.07,0.75,14.1,2.34,2.56,0.09,Sand
D234718,23.9,0.14,4.81,0.15,0.84,37,1.07,1.12,0.29,Sand
D234719,62.3,0.19,11.1,0.14,0.57,10.6,2.43,2.63,0.07,Sand
D234720,58.6,0.47,13.7,0.14,1.1,8.5,3.75,2.61,0.18,Sand
D236665,63.6,0.25,9.9,0.05,1.39,9.6,2.4,2.22,0.14,Sand
D239866,69,0.46,11.7,0.04,1.86,2.93,2.13,1.91,0.14,Sand
D239882,55.1,0.48,11.3,0.03,3.99,7.15,0.82,2.89,0.14,Sand
D239886,66.1,0.46,11.5,0.04,2.21,4.89,1.88,1.93,0.14,Sand
D239903,66.5,0.59,11.8,0.03,2.24,4.44,1.88,1.84,0.2,Sand
D239911,64.3,0.57,11.2,0.04,2.49,5.52,1.79,1.93,0.18,Sand
D239923,72.4,0.63,11.7,0.03,1.45,2.41,2.35,1.89,0.15,Sand
D239929,68,0.48,12.9,0.03,1.84,3.79,2.03,2.17,0.14,Sand
D239933,66.6,0.49,11.6,0.03,2.82,3.81,1.57,1.79,0.16,Sand
D239935,64.8,0.49,12.7,0.06,2.06,4.05,1.9,2.1,0.15,Sand
D239953,66,0.51,11.7,0.03,2.88,3.83,1.61,1.77,0.17,Sand
D239956,66.4,0.56,11.1,0.03,2.49,5.25,1.96,1.88,0.17,Sand
D239966,53.2,0.36,9.07,0.21,1.92,15.2,1.62,1.5,0.14,Sand
D239967,66.5,0.55,11.1,0.04,2.45,5.54,1.96,1.84,0.17,Sand
D239975,68.6,0.45,12.1,0.05,1.93,2.94,2.11,1.94,0.14,Sand
D239983,77.9,0.34,8.23,0.04,1.25,2.73,1.54,1.89,0.11,Sand
D239985,65.8,0.44,11.4,0.04,2.32,4.97,1.88,1.91,0.14,Sand
D239987,65.4,0.48,12.7,0.04,1.93,3.44,1.98,2.08,0.14,Sand
D239995,66.5,0.58,11.1,0.03,2.51,5.24,1.93,1.86,0.17,Sand
D240015,69.5,0.52,12,0.02,2.18,3.08,2.25,1.83,0.15,Sand
D240018,63.3,0.73,15.1,0.04,2.63,2,1.51,2.42,0.21,Sand
D242749,52,0.97,17.1,0.09,3.36,4.77,2.42,1.01,0.26,Sand
D244383,70.2,0.37,8,0.23,0.55,7.84,2.18,0.92,0.05,Sand
D244387,72.7,0.37,8.8,0.18,0.57,5.89,2.39,0.95,0.05,Sand
D244406,71.5,0.43,12.6,0.07,1.15,0.93,2.88,1.75,0.1,Sand
D244558,77.8,0.15,6.33,0.02,1.69,3.38,0.39,1.72,0.05,Sand
D244560,79,0.12,7.22,0.02,1.68,2.72,0.41,1.96,0.05,Sand
D245164,62.7,0.13,3.45,0.06,0.45,12.2,0.19,1.44,0.06,Sand
D245165,73.8,0.16,4.07,0.04,0.9,6.31,0.19,1.68,0.06,Sand
D245173,83.3,0.11,3.06,0.03,0.49,4.96,0.16,1.04,0.06,Sand
D245202,81.2,0.31,6.41,0.02,0.74,2.68,0.27,2.08,0.11,Sand
D245876,55,0.36,10.7,0.08,3.83,10.1,1.05,3.01,0.11,Sand
D245910,37.7,0.13,4.13,0.27,0.85,29.1,0.7,1.13,13.8,Sand
D245930,61.6,0.21,6.52,0.72,6.16,7.12,0.21,2.43,0.12,Sand
D254383,39.8,0.4,6.02,0.02,8.83,15,0.25,1.76,0.06,Sand
D255293,45.1,0.95,19.8,0.03,3.32,0.08,1.07,5.61,0.11,Sand
D260778,21.1,0.09,2.5,0.14,8.14,24,0.22,0.72,0.1,Sand
D260790,68.3,0.49,10.3,0.08,1.1,5.93,1.66,2.24,0.21,Sand
D261363,60.5,0.88,16.2,0.09,3.38,2.26,2.69,2.3,0.21,Sand
D261365,63.5,0.69,14.5,0.13,1.96,3.03,1.79,1.4,0.14,Sand
D261713,60.7,0.87,15.8,0.1,3.67,3.18,4.03,1.28,0.23,Sand
D261714,72.3,0.69,12.6,0.09,1.5,1.02,3.05,1.46,0.18,Sand
D261715,70.9,0.63,12.8,0.06,1.82,1.02,3.61,1.14,0.18,Sand
D261716,67.3,0.7,14.2,0.09,2.42,1.33,4.46,1.17,0.14,Sand
D261717,64.8,0.81,14.4,0.09,2.25,1.53,5.16,0.59,0.23,Sand
D261718,58.6,0.86,15.4,0.12,4.96,3.95,3.46,2.23,0.22,Sand
D261719,70.1,0.59,13.6,0.08,2.22,1.07,3.06,1.63,0.17,Sand
D261720,68.2,0.58,13.6,0.08,2.19,2.52,3.49,1.78,0.18,Sand
D261721,68.5,0.61,13.1,0.06,2.53,2.4,3.27,1.77,0.17,Sand
D261722,68.3,0.64,14.1,0.06,2.53,1.2,3.31,2.21,0.15,Sand
D261723,66.9,0.63,14.5,0.07,2.28,1.65,3.49,2.2,0.16,Sand
D261724,67.7,0.67,14.7,0.07,2.1,0.38,3.77,2.63,0.19,Sand
D261725,67.5,0.6,14.4,0.07,2.15,2.3,3.23,2.24,0.17,Sand
D261726,68.1,0.55,14.6,0.06,2.15,1.23,4.24,2.55,0.15,Sand
D261727,70.8,0.52,10.7,0.06,1.56,3.83,2.3,2.08,0.12,Sand
D261730,73.1,0.55,12.4,0.02,1.74,0.62,2.86,1.84,0.14,Sand
D261731,73.8,0.58,11.7,0.03,1.77,0.83,2.65,1.66,0.13,Sand
D261732,68.3,0.6,13.6,0.07,2.25,2.19,3.22,2.13,0.17,Sand
D261733,75.6,0.46,11.8,0.03,1.07,0.41,2.9,2.06,0.09,Sand
D261734,69.3,0.55,14.4,0.06,1.79,2.2,3.86,1.76,0.12,Sand
D261735,66.3,0.58,15,0.09,1.96,3.24,3.74,1.86,0.17,Sand
D261736,47.4,2.5,13.6,0.23,5.6,8.84,2.49,0.84,0.2,Sand
D261737,69.1,0.52,14.6,0.04,1.27,1.45,3.42,2.71,0.13,Sand
D261738,67.3,0.51,15.5,0.07,1.9,2.89,3.69,2.36,0.14,Sand
D264676,45.2,0.22,5.56,0.03,7.5,16.2,0.44,2.27,0.12,Sand
D265900,43.9,0.05,0.55,0.03,10.6,18.5,0.15,0.14,0.19,Sand
D265901,8.63,0.04,0.83,0.03,18.5,29.4,0.17,0.24,0.34,Sand
D269275,66.6,0.52,15.1,0.03,1.52,1.07,2.75,2.36,0.08,Sand
D269209,61.7,0.53,17.9,0.04,3.73,0.83,2.03,1.3,0.1,Sand
D269268,59.1,0.71,16.7,0.09,3.54,1.63,4.88,0.81,0.11,Sand
D269269,58.8,0.77,16.4,0.08,4.19,0.32,4.27,0.92,0.12,Sand
D269278,64.4,0.7,14,0.07,1.72,3.88,2.2,2,0.07,Sand
D269289,53.7,0.86,16.6,0.12,4.13,4.83,2.59,1.46,0.1,Sand
D269293,57.3,0.81,17,0.06,3.52,2.47,2.5,1.79,0.09,Sand
D269294,57.5,0.65,17.2,0.07,3.87,2.45,2.54,1.79,0.09,Sand
D269298,58,0.75,17.3,0.06,3.56,2.86,2.23,1.43,0.1,Sand
D269301,58.9,0.83,17.7,0.08,3.67,2.04,2.12,1.17,0.1,Sand
D269306,59.9,0.75,16.2,0.06,3.08,1.61,3.42,1.71,0.09,Sand
D269307,57.8,0.77,18.1,0.05,2.84,2.43,1.77,1.7,0.12,Sand
D282184,71.2,0.27,14.7,0.08,0.7,1.56,3.64,3.96,0.1,Sand
D291106,64.2,0.66,15.6,0.09,2.78,1.38,3.35,2.55,0.13,Sand
D291112,67.2,0.64,13.6,0.09,3.07,1.38,4.05,0.98,0.12,Sand
D291113,75.7,0.43,9.56,0.09,1.97,0.99,1.9,1.13,0.15,Sand
D291114,70.6,0.58,11.5,0.08,2.87,1.84,2.88,1,0.1,Sand
D291119,67.9,0.79,13.1,0.08,1.75,1.55,3.13,2.2,0.1,Sand
D291122,71,0.65,10.4,0.17,3.84,0.76,1.16,1.85,0.22,Sand
D291124,71.1,0.63,13.5,0.02,2.22,0.2,2.52,2.13,0.17,Sand
D291127,68.1,0.65,12.6,0.06,2.7,0.69,2.29,1.99,0.22,Sand
D291174,53.4,0.8,18.5,0.13,4.46,6.76,2.47,0.63,0.08,Sand
D291182,29.4,0.42,8.71,0.85,2.03,26.3,0.97,1.13,0.18,Sand
D291183,33.1,0.44,9.06,0.91,2.21,22.8,1.1,0.9,0.71,Sand
D291185,61.2,0.83,14,0.12,1.61,4.73,2.71,2.12,0.14,Sand
D291186,63.5,0.91,12.1,0.08,1.28,6.88,2.12,2,0.13,Sand
D291188,62.9,0.76,11.4,0.13,2.73,3.86,1.62,0.85,0.06,Sand
D291190,68.3,0.49,12.2,0.08,2.56,2.68,2.46,0.82,0.13,Sand
D291191,72.7,0.74,11.4,0.03,1.94,0.86,1.31,1.27,0.1,Sand
D291192,58,0.81,13.8,0.26,1.95,6.36,2.32,2.11,0.14,Sand
D291194,67.4,0.8,12.2,0.09,2.28,2.06,1.38,1.52,0.09,Sand
D291196,54.7,0.68,13,0.4,2.39,9.66,2,1.14,0.12,Sand
D291197,64,0.75,13.6,0.14,2.22,2.03,2.59,1.46,0.16,Sand
D291198,37.1,0.46,11,0.7,2.28,19.7,0.62,0.95,2.22,Sand
D291199,51.3,0.77,12.1,0.22,2.89,10.7,1.65,0.97,0.19,Sand
D291200,59.3,0.78,14.4,0.16,3.51,1.43,1.52,1.36,0.07,Sand
D291201,64.8,0.71,10.2,0.34,2.28,4.26,2.05,0.77,0.06,Sand
D291202,57.2,0.66,13.7,0.13,2.17,4.98,2.92,1.95,0.13,Sand
D291203,50.7,0.62,11.6,0.23,2.23,13.1,1.71,0.81,0.13,Sand
D291204,60.1,0.83,14.6,0.07,3.48,0.81,2.74,0.72,0.1,Sand
D291205,47,0.59,11,0.31,2.98,15.6,1.62,0.64,0.14,Sand
D291206,66.7,0.65,13.5,0.05,3.22,1.32,2.67,1.58,0.17,Sand
D291207,67.4,0.72,11.8,0.07,4.1,1.83,2.01,1.07,0.08,Sand
D291208,65.5,0.7,12.6,0.05,3.39,1.8,2.07,1.1,0.08,Sand
D291209,65.5,0.89,12.1,0.1,3.17,1.21,2.17,0.64,0.07,Sand
D291210,63.9,0.74,15.6,0.03,2.02,0.74,3.61,2.26,0.14,Sand
D291211,60.7,0.83,12.6,0.17,2.94,5.1,2.34,1.12,0.12,Sand
D291212,69.4,0.61,11.9,0.07,3.18,2.16,2.72,1.14,0.11,Sand
D291213,60.7,0.68,16.3,0.16,2.34,1.15,4.48,2.9,0.29,Sand
D291214,61.1,0.76,14,0.22,4.13,0.97,2.91,0.52,0.17,Sand
D291215,56.3,0.64,13.3,0.26,2.72,7.22,2.59,1.22,0.18,Sand
D291216,60.2,0.66,13.8,0.16,3.21,3.99,2.3,1.44,0.21,Sand
D291217,68.2,0.5,12.5,0.18,2.25,2.84,2.56,0.98,0.08,Sand
D291421,64,0.52,14.2,0.04,2.49,3.92,3.26,2.05,0.11,Sand
D291422,52.6,0.72,19.1,0.07,4.38,1.88,2.54,4.1,0.08,Sand
D291428,55.7,0.97,16.6,0.07,4.39,4.05,4.23,1.27,0.22,Sand
D291429,52.1,0.81,18,0.19,5.89,1.63,4.76,1.62,0.13,Sand
D291430,64.9,0.47,8.52,0.03,1.02,8.89,2.13,1.18,0.16,Sand
D291431,60.1,0.83,15.8,0.05,2.63,0.45,3.09,1.61,0.25,Sand
D291432,70,0.59,12.5,0.02,1.36,1.19,2.76,1.69,0.54,Sand
D291433,70.7,0.56,8.89,0.06,1.37,5.68,1.92,1.26,0.32,Sand
D291437,50.4,1.18,17.1,0.17,6.87,3.35,5.26,0.73,0.16,Sand
D291438,50.2,1.3,17.1,0.22,4.94,5.31,5.29,0.39,0.24,Sand
D291440,62.2,0.81,16.1,0.18,3.43,1.63,3.27,1.32,0.07,Sand
D291443,61.2,0.71,15.7,0.09,3.03,1.3,2.35,4.89,0.11,Sand
D291444,60.2,1.36,16.5,0.19,2.96,1.1,4.39,0.81,0.06,Sand
D291596,60.5,1.32,15,0.19,2.38,1.55,5.37,0.05,0.56,Sand
D291597,59.5,1.08,16,0.29,3.16,0.14,1.52,1.43,0.18,Sand
D291600,53.6,0.98,15.5,0.39,6.31,4.14,2.69,0.35,0.15,Sand
D291608,73.1,0.53,11,0.02,2,0.15,1.86,1.3,0.09,Sand
D291610,63.2,0.67,16.6,0.11,1.91,1.34,5.74,1.53,0.13,Sand
D291611,63.5,0.65,17.1,0.13,1.47,0.4,6.25,2.35,0.15,Sand
D291613,61,0.7,15.9,0.12,3.26,2.44,4.24,0.59,0.11,Sand
D293003,78.5,0.35,7.78,0.03,2.17,0.92,0.88,1.04,0.17,Sand
D316788,72.4,0.64,9.49,0.27,1.42,3.48,1.62,1.77,0.14,Sand
D316844,66,0.77,11.7,0.05,1.82,4.38,1.69,1.9,0.14,Sand
D320150,67.5,0.7,13.7,0.15,2.83,1.41,4.06,0.98,0.2,Sand
D320153,76.9,0.44,9.66,0.03,2.71,0.3,1.7,1.73,0.16,Sand
D320158,68.1,0.4,8.34,0.11,1.63,7.4,1.89,1.12,0.16,Sand
D320159,74.3,0.47,9.88,0.03,3.05,1.04,2.07,1.46,0.13,Sand
D320162,64.2,0.92,13,0.15,2.98,2.58,3.34,0.97,0.21,Sand
D325552,44,2.28,10.9,2.17,10.1,6.53,2.27,1,0.19,Sand
D325556,21.7,1.34,7.11,2.27,2.01,28.3,1.54,1.23,16.6,Sand
D325558,1.74,0.03,0.48,0.46,0.43,51.7,0.98,0.03,31.7,Sand
D325559,44,2.66,11.8,0.22,2.4,4.09,2.78,3.22,2.29,Sand
D325560,4.24,0.23,1.28,0.21,0.57,49.5,0.93,0.19,26.6,Sand
D325561,39.8,1.91,9.98,3.27,2.8,1.42,2.27,2.87,0.48,Sand
